Feature,Coefficient
Localidad_Estación Atamisqui,2.184804572715608e-11
Localidad_Guardia Escolta,2.1843759710188498e-11
Localidad_Villa Libertador San Martín,2.1842755942831936e-11
Localidad_Naschel,2.1842487993254385e-11
Localidad_Colonia Polana,2.183839926823806e-11
Partido_Hurlingham,2.1832725116193437e-11
Localidad_Capayán,2.1829500262097498e-11
Localidad_Palo Negro,2.1813382619202472e-11
Localidad_Campo Viera,2.1809911100505844e-11
Localidad_Beltrán,2.1809069007457775e-11
Localidad_Puesto de San Antonio,2.1799426193405787e-11
Localidad_Pala Pala,2.1795271047169883e-11
Localidad_Chichinales,2.1788042224969808e-11
Localidad_Guaymallén,2.1767467663544077e-11
Localidad_Los Telares,2.1766038695378536e-11
Localidad_La Punta,2.1762340694446815e-11
Localidad_Colonia Avellaneda,2.1760809135333174e-11
Localidad_Puerto Piray,2.1752604637701135e-11
Localidad_Juan G. Bazán,2.174101508478545e-11
Localidad_Siete Palmas,2.1737028588324612e-11
Localidad_San Lucas,2.1727961018749475e-11
Localidad_La Escondida,2.1727556520776696e-11
Localidad_Gualeguaychú,2.172697313245375e-11
Localidad_Colalao del Valle,2.172581809934309e-11
Localidad_Villa de Leales,2.1713916021934136e-11
Localidad_Gobernador Roca,2.1713060172853956e-11
Partido_Santa Lucía,2.1706681666505527e-11
Localidad_Luis Beltrán,2.1696933183424345e-11
Localidad_Villa Quinteros,2.1695363553033902e-11
Localidad_Puerto Tirol,2.168071361709986e-11
Localidad_Gilbert,2.1670384220521976e-11
Localidad_Anguil,2.1659811679519264e-11
Localidad_Buena Esperanza,2.1649242584541006e-11
Localidad_Villa Media Agua,2.1634743687147754e-11
Partido_Presidencia de la Plaza,2.1624214957991783e-11
Localidad_Presidencia de la Plaza,2.1624214957991783e-11
Localidad_Villa General Güemes,2.1619436304844095e-11
Localidad_Apolinario Saravia,2.1609232703281464e-11
Localidad_Montecarlo,2.1595258151087034e-11
Localidad_Riachuelo,2.158114478337897e-11
Localidad_Oberá,2.1577068123584957e-11
Localidad_Isla del Cerrito,2.1576813198651644e-11
Partido_Arrecifes,2.1572496902263773e-11
Localidad_Villa Larca,2.1548754183248763e-11
Localidad_Bajo San Cayetano,2.1543958017660107e-11
Localidad_Campo Grande,2.1538241796623414e-11
Localidad_El Huecú,2.153799843935309e-11
Localidad_Malargüe,2.152715382767474e-11
Localidad_San Juan,2.1495450410955397e-11
Localidad_Gobernador Benegas,2.1483516100154234e-11
Localidad_Fortín El Patria,2.147042177919288e-11
Localidad_El Rincón,2.146284397610803e-11
Partido_Juan Bautista Alberdi,2.145040105191421e-11
Localidad_Juan Bautista Alberdi,2.145040105191421e-11
Localidad_Rodeo,2.1444732041550388e-11
Localidad_Laguna Naick-Neck,2.1440319236302126e-11
Localidad_Carmensa,2.1439352922775562e-11
Localidad_Quinta El Mirador,2.143085600511307e-11
Localidad_Clodomiro Ledesma,2.1429752602700405e-11
Localidad_Villa San Justo,2.1412914206980544e-11
Localidad_El Cóndor,2.1412154550628413e-11
Localidad_Los Pirpintos,2.1411249407227408e-11
Localidad_General Güemes,2.1409107190937304e-11
Localidad_Yacuy,2.139242944344207e-11
Localidad_Garuhapé,2.138856958828099e-11
Localidad_Huillapima,2.1367013854318248e-11
Localidad_Las Tinajas,2.135212140779791e-11
Localidad_Villa Mascardi,2.1349708867848856e-11
Localidad_El Solar,2.1349421326848594e-11
Localidad_Rosario del Tala,2.1341938488553102e-11
Localidad_Ceibas,2.1319537314540473e-11
Localidad_La Adela,2.1315537458517625e-11
Localidad_Crespo,2.1312892451938168e-11
Localidad_Santa Rosa de Leales,2.1297345285090427e-11
Localidad_El Sombrero,2.1296606091033067e-11
Localidad_Puesto del Marquéz,2.129634416690625e-11
Localidad_Nogoyá,2.1295769249055863e-11
Localidad_Pueblo Independencia,2.1293167889487625e-11
Localidad_Hernandarias,2.128726030412695e-11
Localidad_Chimpay,2.1279768126777757e-11
Localidad_Puente Cero,2.1277793542147007e-11
Localidad_Pedro R. Fernández (Est. Manuel F. Mantilla),2.127246934126988e-11
Localidad_Pomona,2.127184943701355e-11
Localidad_Clorinda,2.127139727156534e-11
Localidad_Pampa de los Guanacos,2.1271095882472757e-11
Localidad_Ramírez de Velazco,2.1260867400206274e-11
Localidad_Colonia Liebig's,2.1255244045988e-11
Localidad_Aranguren,2.125166951534489e-11
Localidad_Coronel Du Graty,2.124724928975297e-11
Localidad_Monte Quemado,2.124047730695356e-11
Localidad_Profesor Salvador Mazza,2.123135422573753e-11
Localidad_Simbolar,2.1230923337489467e-11
Localidad_Mojón de Fierro,2.1223366394385085e-11
Localidad_Las Cejas,2.1215669442554904e-11
Localidad_Vaqueros,2.121222910185444e-11
Localidad_Tatané,2.120374820787214e-11
Localidad_Termas de Río Hondo,2.1203618999904138e-11
Localidad_Ancasti,2.1202013752476843e-11
Partido_Ancasti,2.1202013752476843e-11
Localidad_Juan Jorba,2.1199931475282145e-11
Localidad_Clodomira,2.1192502587625317e-11
Localidad_Olta,2.1189185285743993e-11
Localidad_Rolón,2.1188533678726385e-11
Localidad_Villa La Punta,2.1183428474942605e-11
Localidad_San Isidro (Est. Los Angacos),2.1179256252204356e-11
Localidad_Enrique Carbó,2.1173467013179586e-11
Localidad_Empedrado,2.1171339556170476e-11
Localidad_San Rafael,2.115927145958481e-11
Localidad_Los Chiriguanos,2.1156337720382974e-11
Localidad_María Grande,2.1151136363054607e-11
Localidad_Puesto Viejo,2.1149306735649407e-11
Localidad_Garmendia,2.1143155898409355e-11
Localidad_Maquinchao,2.1141282966323915e-11
Localidad_Nueva Galia,2.114032591864815e-11
Localidad_Villa General Manuel Belgrano,2.113234773620355e-11
Localidad_Ruiz de Montoya,2.112860612339939e-11
Localidad_La Ciénaga y Barrio San Rafael,2.1122041557706604e-11
