Provincia,Partido,Localidad,Poblacion,ADSL,Cablemodem,Dial Up,Fibra optica,Satelital,Wireless,Telefonia Fija,3G,4G,Link,Latitud,Longitud
MENDOZA,Luján de Cuyo,Costa Flores,297,--,--,--,SI,--,SI,--,SI,SI,50063040,-33.07051845,-68.93432149
MENDOZA,Luján de Cuyo,El Carmelo,0,--,--,--,--,--,--,--,--,--,50063050,-32.95511112,-69.28119239
MENDOZA,Luján de Cuyo,El Carrizal,344,--,--,--,--,--,SI,--,--,SI,50063050,-33.30374336,-68.7554952
MENDOZA,Luján de Cuyo,El Salto,297,--,--,--,--,--,SI,SI,--,--,50063060,-32.89947818,-69.33364844
MENDOZA,Luján de Cuyo,La Puntilla,0,--,--,--,SI,--,SI,--,--,--,50063060,-32.96097139,-68.87233239
MENDOZA,Rivadavia,Rivadavia,31038,SI,--,SI,SI,SI,SI,SI,SI,SI,50084140,-33.19403215,-68.47361889
MENDOZA,Rivadavia,Santa María de Oro,609,--,--,--,--,--,SI,--,--,--,50084150,-33.20598063,-68.43355891
MENDOZA,San Carlos,Barrio Carrasco,135,--,--,--,--,--,--,--,--,--,50091005,-33.83210661,-69.04900321
MENDOZA,San Carlos,Barrio El Cepillo,109,--,--,--,--,--,SI,--,--,--,50091010,-33.83865338,-69.13034972
MENDOZA,San Carlos,Chilecito,1033,--,--,--,--,--,SI,--,SI,SI,50091020,-33.8934021,-69.08046336
MENDOZA,San Carlos,Eugenio Bustos,5591,SI,--,--,--,--,SI,SI,SI,SI,50091030,-33.78502245,-69.07290453
MENDOZA,San Carlos,La Consulta,8241,SI,--,--,--,SI,SI,SI,SI,SI,50091040,-33.73867574,-69.12812556
MENDOZA,San Carlos,Pareditas,1021,--,--,--,SI,--,SI,SI,SI,SI,50091050,-33.9452563,-69.0824859
MENDOZA,San Carlos,San Carlos,3886,--,SI,--,--,--,SI,--,SI,SI,50091060,-33.77444946,-69.04909092
MENDOZA,San Martín,Alto Salvador,0,--,--,--,SI,--,SI,SI,--,--,50098090,-33.03597168,-68.47084072
MENDOZA,San Martín,Alto Verde,1627,--,--,--,SI,--,SI,--,--,--,50098020,-33.11950374,-68.4180219
MENDOZA,San Martín,Barrio Chivilcoy,403,--,--,--,--,--,--,--,--,--,50098030,-33.04114674,-68.35415274
MENDOZA,San Martín,Barrio Emanuel,75,--,--,--,--,--,--,--,--,--,50098040,-32.8468556,-68.41001992
MENDOZA,San Martín,Barrio La Estación,111,--,--,--,--,--,--,--,--,--,50098045,-33.15529016,-68.35436216
MENDOZA,San Martín,Barrio Los Charabones,227,--,--,--,--,--,--,--,--,--,50098050,-32.97851157,-68.30510182
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,203,--,--,--,--,--,--,--,SI,--,50098055,-33.13097148,-68.35127798
MENDOZA,San Martín,Chapanay,1486,--,--,SI,SI,--,SI,SI,SI,SI,50098060,-32.98011773,-68.47652538
MENDOZA,San Martín,Chivilcoy,550,--,--,--,--,--,--,--,--,--,50098070,-33.03833558,-68.45940294
MENDOZA,San Martín,El Espino,376,--,--,--,--,--,SI,--,--,--,50098073,-33.07733306,-68.39828382
SALTA,La Caldera,La Caldera,2186,--,--,--,SI,SI,SI,SI,SI,SI,66077010,-24.60494862,-65.38233773
SALTA,La Caldera,Vaqueros,4575,SI,--,--,SI,--,SI,SI,SI,SI,66077020,-24.69452119,-65.40269442
SALTA,La Candelaria,El Jardín,1221,--,--,--,SI,SI,--,SI,--,SI,66084010,-26.09388342,-65.41384156
SALTA,La Candelaria,El Tala,2632,--,--,--,SI,SI,SI,SI,SI,SI,66084020,-26.12089176,-65.28730588
SALTA,La Candelaria,La Candelaria,649,--,--,--,SI,--,--,SI,--,SI,66084030,-26.09617901,-65.06101195
SALTA,La Poma,Cobres,143,--,--,--,--,--,--,--,--,--,66091010,-23.63919985,-66.26840397
SALTA,La Poma,La Poma,614,--,--,--,SI,--,SI,--,--,--,66091020,-24.71290105,-66.19973852
SALTA,La Viña,Ampascachi,118,--,--,--,--,--,SI,--,--,--,66098010,-25.35545551,-65.53230447
SALTA,La Viña,Cabra Corral,27,--,--,--,--,--,SI,--,--,SI,66098020,-25.29003671,-65.38778537
SALTA,La Viña,Coronel Moldes,4116,SI,--,--,--,SI,SI,SI,SI,SI,66098030,-25.28894047,-65.47453735
SALTA,La Viña,La Viña,1825,--,--,--,SI,SI,SI,SI,--,SI,66098040,-25.47197246,-65.57198389
SALTA,La Viña,Talapampa,341,--,--,--,--,--,SI,--,--,--,66098050,-25.54637463,-65.55967288
SALTA,Los Andes,Olacapato,218,--,--,--,SI,SI,SI,SI,--,--,66105010,-24.11977455,-66.7142594
SALTA,Los Andes,San Antonio de los Cobres,4763,--,--,--,SI,SI,SI,SI,--,SI,66105020,-24.209931,-66.315436
SALTA,Los Andes,Santa Rosa de los Pastos Grandes,168,--,--,--,SI,SI,SI,--,--,--,66105030,-24.47810578,-66.67854007
SALTA,Los Andes,Tolar Grande,230,--,--,--,SI,SI,SI,SI,--,SI,66105040,-24.55798519,-67.43696537
SALTA,Metán,El Galpón,5675,SI,--,--,SI,SI,--,SI,SI,SI,66112010,-25.39158645,-64.65950629
SALTA,Metán,El Tunal,0,--,--,--,SI,SI,--,--,--,SI,66112020,-25.26526458,-64.40610422
SALTA,Metán,Lumbreras,297,--,--,--,SI,--,--,--,--,--,66112030,-25.21725758,-64.93068615
SALTA,Metán,Metán Viejo,377,--,--,--,SI,SI,--,--,--,SI,66112050,-25.54180395,-64.98493851
SALTA,Metán,Presa El Tunal,518,--,--,--,--,--,--,--,--,--,66112020,-25.26526458,-64.40610422
SALTA,Metán,Río Piedras,1420,SI,--,--,SI,SI,--,SI,SI,SI,66112070,-25.32118188,-64.91732942
SALTA,Metán,San José de Metán,28295,SI,--,--,SI,SI,--,SI,SI,SI,66112040,-25.50772054,-64.98212454
SALTA,Metán,San José de Orquera,155,--,--,--,SI,--,--,--,--,--,66112080,-25.27830942,-64.08505616
